compa_ratio,compa_ratio_range,cost_center,country,current_rating,ethnicity,gender,generation,high_performer,high_potential,hiring_source,is_leader,is_manager,job_family_group,job_level,job_profile,length_of_service,location,management_level,region,single_job_family,tenure_category,total_compensation,age
1.395,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,3 - Meets Expectations,Asian,Male,Generation X (1965-1980),False,False,Corporate Website,False,False,Services,P5,Legal - Corporate - Principal Legal Consultant,5.652,Singapore,Individual Contributor,APAC,Legal - Corporate,05-10 Years,148900,57.0
1.206,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,Asian,Male,Baby Boomers (1946-1964),False,False,Recruiter,False,False,Finance,P5,FA - Accounting - Principal Finance Analyst,2.342,Incheon,Individual Contributor,APAC,FA - Accounting,02-05 Years,128700,65.0
0.992,At Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,Asian,Female,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Finance,P3,FA - Accounting - P3 Finance Analyst,9.622,San Francisco,Individual Contributor,AMER,FA - Accounting,05-10 Years,76900,32.0
0.985,At Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,Asian,Male,Generation Z (1997 and onwards),True,False,Corporate Website,False,False,Development,P2,IT - Product Development - P2 Data Scientist,3.142,San Francisco,Individual Contributor,AMER,IT - Product Development,02-05 Years,66500,26.0
1.007,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,1 - Unsatisfactory,Hispanic,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Services,P2,Legal - Corporate - P2 Legal Consultant,5.156,London,Individual Contributor,EMEA,Legal - Corporate,05-10 Years,54400,27.0
1.427,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,4 - Exceeds Expectations,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Services,P4,Legal - Corporate - Senior Legal Consultant,7.616,Daegu,Individual Contributor,APAC,Legal - Corporate,05-10 Years,109900,34.0
1.434,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,3 - Meets Expectations,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Executive,P4,Board Management - Senior Board Associate,12.022,Singapore,Vice President,APAC,Board Management,10-15 Years,110400,36.0
0.989,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,4.178,London,Individual Contributor,EMEA,Sales - Direct Sales,02-05 Years,53400,28.0
0.707,Below Compa-Ratio,EMEA - United Kingdom,United Kingdom,4 - Exceeds Expectations,White,Male,Baby Boomers (1946-1964),False,False,Agency,False,True,Sales,M2,Sales - Management - Associate Manager,34.033,London,Manager,EMEA,Sales - Management,15+ Years,97600,66.0
0.675,Below Compa-Ratio,EMEA - France,France,1 - Unsatisfactory,Asian,Female,Generation Z (1997 and onwards),False,True,Corporate Website,False,False,Development,P1,IT - Product Development - P1 Business Analytics,3.855,Paris,Individual Contributor,EMEA,IT - Product Development,02-05 Years,29700,25.0
1.048,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,1 - Unsatisfactory,White,Male,Generation Y/Millenials (1981-1996),False,True,Internal,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,9.293,London,Individual Contributor,EMEA,Sales - Inside Sales,05-10 Years,65000,30.0
1.286,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,3 - Meets Expectations,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Development,P4,IT - Product Development - Senior Business Analytics,6.647,Singapore,Individual Contributor,APAC,IT - Product Development,05-10 Years,99000,35.0
1.177,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,Hispanic,Female,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,5.83,Toronto,Individual Contributor,AMER,Sales - Direct Sales,05-10 Years,91200,33.0
1.411,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,2 - Needs Improvement,White,Male,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Development,P4,IT - Product Development - Senior Software Engineer,14.419,London,Individual Contributor,EMEA,IT - Product Development,10-15 Years,124200,36.0
0.91,Below Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,American Indian or Alaska Native,Male,Generation Y/Millenials (1981-1996),False,True,Linkedin,False,False,Finance,P3,FA - Accounting - P3 Finance Analyst,2.332,San Francisco,Individual Contributor,AMER,FA - Accounting,02-05 Years,70500,29.0
1.562,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,Asian,Male,Baby Boomers (1946-1964),False,False,Referral,False,False,Executive,P5,Board Management - Principal Board Associate,39.466,Incheon,Vice President,APAC,Board Management,15+ Years,166700,62.0
1.099,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,5.373,Calgary,Individual Contributor,AMER,Sales - Direct Sales,05-10 Years,85200,31.0
1.015,At Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,Black or African American,Female,Generation Z (1997 and onwards),False,False,Agency,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,3.17,Toronto,Individual Contributor,AMER,Sales - Direct Sales,02-05 Years,68500,26.0
1.302,Above Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Executive,P4,Board Management - Senior Board Associate,1.581,Paris,Vice President,EMEA,Board Management,01-02 Years,114600,34.0
0.789,Below Compa-Ratio,Global Support - Asia/Pac,Singapore,5 - Outstanding Performance,Asian,Male,Generation X (1965-1980),True,True,Agency,False,True,Development,M3,IT - Product Management - Manager,11.841,Singapore,Manager,APAC,IT - Product Management,10-15 Years,100800,49.0
1.005,At Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Development,P3,IT - Product Development - P3 Business Analytics,1.493,Busan,Individual Contributor,APAC,IT - Product Development,01-02 Years,54500,29.0
1.257,Above Compa-Ratio,EMEA - France,France,2 - Needs Improvement,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P5,Sales - Direct Sales - Principal Direct Sales Representative,0.033,Marseille,Individual Contributor,EMEA,Sales - Direct Sales,00-01 Years,153400,40.0
0.965,At Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,False,Agency,False,False,Finance,P2,FA - Accounting - P2 Finance Analyst,4.964,Paris,Individual Contributor,EMEA,FA - Accounting,02-05 Years,52100,27.0
1.137,Above Compa-Ratio,EMEA - France,France,1 - Unsatisfactory,White,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,10.83,Marseille,Individual Contributor,EMEA,Sales - Inside Sales,10-15 Years,70500,33.0
1.03,At Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,3.121,Marseille,Individual Contributor,EMEA,Sales - Direct Sales,02-05 Years,90600,35.0
1.199,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Finance,P5,FA - Accounting - Principal Accounting Settlement Specialist,5.759,Calgary,Individual Contributor,AMER,FA - Accounting,05-10 Years,182900,37.0
1.061,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,4 - Exceeds Expectations,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Executive,P4,Board Management - Senior Board Associate,5.712,Seoul,Vice President,APAC,Board Management,05-10 Years,81700,37.0
0.93,Below Compa-Ratio,AMER - United States of America,United States of America,2 - Needs Improvement,White,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,5.649,San Francisco,Individual Contributor,AMER,Sales - Direct Sales,05-10 Years,72100,29.0
1.256,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,2 - Needs Improvement,Black or African American,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,True,Sales,M5,Sales - Management - Director,17.97,Seoul,Director,APAC,Sales - Management,15+ Years,202200,41.0
1.146,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,White,Female,Baby Boomers (1946-1964),False,False,Corporate Website,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,11.696,New York,Individual Contributor,AMER,Sales - Inside Sales,10-15 Years,174700,63.0
0.795,Below Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,Black or African American,Female,Generation Z (1997 and onwards),False,False,Recruiter,False,False,Development,P1,IT - Product Development - P1 Business Analytics,0.608,Vancouver,Individual Contributor,AMER,IT - Product Development,00-01 Years,43700,22.0
1.518,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Referral,True,True,Finance,M6,FA - Management - Senior Director,9.71,San Francisco,Director,AMER,FA - Management,05-10 Years,409800,40.0
1.202,Above Compa-Ratio,EMEA - France,France,3 - Meets Expectations,White,Male,Generation Y/Millenials (1981-1996),False,True,Recruiter,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,3.622,Paris,Individual Contributor,EMEA,Sales - Inside Sales,02-05 Years,105800,35.0
1.084,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,White,Male,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Development,P3,IT - Product Development - P3 Business Analytics,0.118,Toronto,Individual Contributor,AMER,IT - Product Development,00-01 Years,84000,31.0
0.893,Below Compa-Ratio,AMER - United States of America,United States of America,2 - Needs Improvement,American Indian or Alaska Native,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P2,Sales - Inside Sales - P2 Inside Sales Representative,1.89,San Francisco,Individual Contributor,AMER,Sales - Inside Sales,01-02 Years,60300,28.0
1.405,Above Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,White,Female,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,0.97,Paris,Individual Contributor,EMEA,Sales - Direct Sales,00-01 Years,123600,36.0
1.102,Above Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,Hispanic,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Services,P3,Human Resources - P3 Human Resources Consultant,6.907,Toronto,Individual Contributor,AMER,Human Resources,05-10 Years,85400,32.0
1.498,Above Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,American Indian or Alaska Native,Female,Generation X (1965-1980),False,True,Referral,False,False,Services,P5,Legal - Corporate - Principal Legal Consultant,2.71,Toronto,Individual Contributor,AMER,Legal - Corporate,02-05 Years,228500,48.0
1.241,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,5 - Outstanding Performance,White,Female,Generation Y/Millenials (1981-1996),True,False,Corporate Website,False,False,Services,P3,Legal - Corporate - P3 Legal Consultant,2.907,Busan,Individual Contributor,APAC,Legal - Corporate,02-05 Years,67300,32.0
1.043,At Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,7.537,San Francisco,Individual Contributor,AMER,Sales - Inside Sales,05-10 Years,80800,33.0
0.817,Below Compa-Ratio,Global Support - Asia/Pac,South Korea,5 - Outstanding Performance,Black or African American,Female,Generation Z (1997 and onwards),True,False,Linkedin,False,False,Finance,P2,FA - Accounting - P2 Finance Analyst,2.378,Seoul,Individual Contributor,APAC,FA - Accounting,02-05 Years,38600,26.0
0.827,Below Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,Asian,Female,Generation Y/Millenials (1981-1996),False,True,Referral,False,False,Services,P2,Human Resources - P2 Human Resources Analyst,4.932,San Francisco,Individual Contributor,AMER,Human Resources,02-05 Years,55800,27.0
0.877,Below Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,White,Female,Generation Y/Millenials (1981-1996),True,False,Corporate Website,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,6.151,Vancouver,Individual Contributor,AMER,Sales - Direct Sales,05-10 Years,59200,28.0
1.303,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,7.521,Toronto,Individual Contributor,AMER,Sales - Inside Sales,05-10 Years,143300,35.0
1.373,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,5 - Outstanding Performance,Asian,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,0.055,Singapore,Individual Contributor,APAC,Sales - Direct Sales,00-01 Years,74500,29.0
1.326,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,White,Female,Generation Y/Millenials (1981-1996),True,True,Corporate Website,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,1.216,Toronto,Individual Contributor,AMER,Sales - Inside Sales,01-02 Years,102800,30.0
1.051,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,15.625,Calgary,Individual Contributor,AMER,Sales - Direct Sales,15+ Years,115600,37.0
1.475,Above Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,Hispanic,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Executive,P4,Board Management - Senior Board Associate,0.386,New York,Vice President,AMER,Board Management,00-01 Years,162200,34.0
1.496,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Finance,P4,FA - Accounting - Senior Accounting Settlement Specialist,7.468,Toronto,Individual Contributor,AMER,FA - Accounting,05-10 Years,164600,35.0
0.894,Below Compa-Ratio,EMEA - United Kingdom,United Kingdom,1 - Unsatisfactory,Asian,Male,Generation X (1965-1980),False,True,Internal,False,True,Development,M3,IT - Product Management - Manager,19.364,London,Manager,EMEA,IT - Product Management,15+ Years,130500,45.0
0.939,Below Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,White,Female,Generation Z (1997 and onwards),False,False,Linkedin,False,False,Development,P1,IT - Product Development - P1 QA,0.129,Paris,Individual Contributor,EMEA,IT - Product Development,00-01 Years,41300,23.0
1.419,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,1 - Unsatisfactory,Hispanic,Male,Generation X (1965-1980),False,True,Referral,True,True,Executive,M8,Executive Management - Executive Vice President,1.992,London,Executive Vice President,EMEA,Executive Management,01-02 Years,482600,47.0
1.397,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,5 - Outstanding Performance,Black or African American,Female,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Development,P3,IT - Product Development - P3 Business Analytics,1.301,Seoul,Individual Contributor,APAC,IT - Product Development,01-02 Years,75800,29.0
0.717,Below Compa-Ratio,EMEA - France,France,2 - Needs Improvement,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,True,Development,M2,IT - Product Management - Associate Manager,6.312,Paris,Manager,EMEA,IT - Product Management,05-10 Years,99000,38.0
0.845,Below Compa-Ratio,EMEA - France,France,3 - Meets Expectations,Asian,Female,Generation Z (1997 and onwards),False,False,Recruiter,False,False,Development,P1,IT - Product Development - P1 QA,1.789,Marseille,Individual Contributor,EMEA,IT - Product Development,01-02 Years,37200,23.0
0.696,Below Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,White,Male,Generation Z (1997 and onwards),False,False,Referral,False,False,Development,P1,IT - Product Development - P1 Software Engineer,3.679,Vancouver,Individual Contributor,AMER,IT - Product Development,02-05 Years,38300,26.0
1.034,At Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,Hispanic,Male,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Executive,P4,Board Management - Senior Board Associate,0.51,Toronto,Vice President,AMER,Board Management,00-01 Years,113700,36.0
1.217,Above Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,White,Male,Generation X (1965-1980),False,False,Referral,False,True,Sales,M6,Sales - Management - Senior Director,22.989,San Francisco,Director,AMER,Sales - Management,15+ Years,328500,53.0
1.113,Above Compa-Ratio,EMEA - France,France,3 - Meets Expectations,White,Female,Generation X (1965-1980),False,False,Referral,False,False,Sales,P5,Sales - Direct Sales - Principal Direct Sales Representative,17.397,Paris,Individual Contributor,EMEA,Sales - Direct Sales,15+ Years,135800,51.0
0.823,Below Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,Asian,Male,Generation Z (1997 and onwards),False,False,Corporate Website,False,False,Services,P2,Human Resources - P2 Human Resources Consultant,1.285,Busan,Individual Contributor,APAC,Human Resources,01-02 Years,38900,26.0
1.064,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,5 - Outstanding Performance,Asian,Female,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Development,P3,IT - Product Development - P3 QA,1.416,Singapore,Individual Contributor,APAC,IT - Product Development,01-02 Years,57700,29.0
0.946,Below Compa-Ratio,Global Support - Asia/Pac,Singapore,1 - Unsatisfactory,Black or African American,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Sales,P2,Sales - Inside Sales - P2 Inside Sales Representative,3.655,Singapore,Individual Contributor,APAC,Sales - Inside Sales,02-05 Years,44700,27.0
1.446,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,American Indian or Alaska Native,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Executive,P4,Board Management - Senior Board Associate,8.989,San Francisco,Vice President,AMER,Board Management,05-10 Years,159100,36.0
1.012,At Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,8.707,Toronto,Individual Contributor,AMER,Sales - Direct Sales,05-10 Years,111300,35.0
1.602,Above Compa-Ratio,EMEA - France,France,3 - Meets Expectations,White,Female,Generation X (1965-1980),False,False,Internal,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,14.597,Toulouse,Individual Contributor,EMEA,Sales - Inside Sales,10-15 Years,195500,45.0
1.467,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,2 - Needs Improvement,White,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,3.427,London,Individual Contributor,EMEA,Sales - Direct Sales,02-05 Years,129100,35.0
0.77,Below Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,Asian,Male,Generation Z (1997 and onwards),False,False,Linkedin,False,False,Development,P1,IT - Product Development - P1 QA,3.14,Paris,Individual Contributor,EMEA,IT - Product Development,02-05 Years,33900,24.0
0.815,Below Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,Asian,Female,Generation Z (1997 and onwards),False,False,Agency,False,False,Development,P1,IT - Product Development - P1 QA,0.893,Toronto,Individual Contributor,AMER,IT - Product Development,00-01 Years,44800,25.0
1.222,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,White,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,10.951,Toronto,Individual Contributor,AMER,Sales - Inside Sales,10-15 Years,134400,35.0
0.934,Below Compa-Ratio,AMER - United States of America,United States of America,2 - Needs Improvement,Hispanic,Female,Generation Y/Millenials (1981-1996),False,True,Referral,False,False,Development,P3,IT - Product Development - P3 Business Analytics,7.003,New York,Individual Contributor,AMER,IT - Product Development,05-10 Years,72400,29.0
1.035,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,1 - Unsatisfactory,White,Male,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,9.584,London,Individual Contributor,EMEA,Sales - Inside Sales,05-10 Years,64200,32.0
1.366,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,American Indian or Alaska Native,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Finance,P3,FA - Accounting - P3 Accounting Settlement Specialist,8.545,Toronto,Individual Contributor,AMER,FA - Accounting,05-10 Years,105900,32.0
0.976,At Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Finance,P2,FA - Accounting - P2 Finance Analyst,0.91,San Francisco,Individual Contributor,AMER,FA - Accounting,00-01 Years,65900,26.0
1.018,At Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P2,IT - Product Development - P2 QA,3.167,Toronto,Individual Contributor,AMER,IT - Product Development,02-05 Years,68700,28.0
1.082,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,Black or African American,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P4,IT - Product Development - Senior Data Scientist,9.452,New York,Individual Contributor,AMER,IT - Product Development,05-10 Years,119000,34.0
1.274,Above Compa-Ratio,EMEA - France,France,2 - Needs Improvement,Asian,Female,Generation Y/Millenials (1981-1996),False,True,Agency,False,False,Finance,P4,FA - Accounting - Senior Finance Analyst,10.496,Toulouse,Individual Contributor,EMEA,FA - Accounting,10-15 Years,112100,34.0
1.19,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,2 - Needs Improvement,White,Male,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Services,P5,Human Resources - Principal Human Resources Analyst,4.014,Singapore,Individual Contributor,APAC,Human Resources,02-05 Years,127000,38.0
1.181,Above Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,Hispanic,Male,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Development,P3,IT - Product Development - P3 Software Engineer,5.888,San Francisco,Individual Contributor,AMER,IT - Product Development,05-10 Years,91500,33.0
1.492,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Services,P4,Human Resources - Senior Human Resources Consultant,12.562,London,Individual Contributor,EMEA,Human Resources,10-15 Years,131300,35.0
0.926,Below Compa-Ratio,EMEA - France,France,2 - Needs Improvement,White,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Finance,P2,FA - Accounting - P2 Accounting Settlement Specialist,3.945,Paris,Individual Contributor,EMEA,FA - Accounting,02-05 Years,50000,27.0
1.001,At Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Services,P4,Human Resources - Senior Human Resources Analyst,7.06,Montreal,Individual Contributor,AMER,Human Resources,05-10 Years,110100,34.0
0.957,At Compa-Ratio,Global Support - Asia/Pac,South Korea,4 - Exceeds Expectations,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,6.151,Seoul,Individual Contributor,APAC,Sales - Direct Sales,05-10 Years,51900,31.0
0.904,Below Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Development,P2,IT - Product Development - P2 Business Analytics,4.321,Toronto,Individual Contributor,AMER,IT - Product Development,02-05 Years,61000,27.0
0.987,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,2 - Needs Improvement,White,Female,Generation Z (1997 and onwards),False,False,Referral,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,3.118,London,Individual Contributor,EMEA,Sales - Direct Sales,02-05 Years,53300,26.0
1.173,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,3 - Meets Expectations,Black or African American,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Executive,P4,Board Management - Senior Board Associate,3.384,Seoul,Vice President,APAC,Board Management,02-05 Years,90300,34.0
0.76,Below Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,White,Male,Generation Z (1997 and onwards),False,False,Corporate Website,False,False,Development,P1,IT - Product Development - P1 QA,0.104,Toronto,Individual Contributor,AMER,IT - Product Development,00-01 Years,41800,23.0
1.022,At Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,American Indian or Alaska Native,Female,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Development,P3,IT - Product Development - P3 Business Analytics,9.868,San Francisco,Individual Contributor,AMER,IT - Product Development,05-10 Years,79200,31.0
1.175,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,5.408,Toronto,Individual Contributor,AMER,Sales - Inside Sales,05-10 Years,129300,35.0
1.408,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Services,P4,Human Resources - Senior Human Resources Consultant,12.337,London,Individual Contributor,EMEA,Human Resources,10-15 Years,123900,34.0
1.103,Above Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,Asian,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Development,P3,IT - Product Development - P3 QA,6.367,San Francisco,Individual Contributor,AMER,IT - Product Development,05-10 Years,85500,29.0
1.2,Above Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,True,True,Development,M5,IT - Product Management - Director,8.405,San Francisco,Director,AMER,IT - Product Management,05-10 Years,275900,39.0
1.115,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,2 - Needs Improvement,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Finance,P3,FA - Accounting - P3 Finance Analyst,2.405,Singapore,Individual Contributor,APAC,FA - Accounting,02-05 Years,60500,33.0
1.432,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,Black or African American,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,7.633,Vancouver,Individual Contributor,AMER,Sales - Direct Sales,05-10 Years,157500,35.0
1.335,Above Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Finance,P4,FA - Accounting - Senior Accounting Settlement Specialist,1.745,Toronto,Individual Contributor,AMER,FA - Accounting,01-02 Years,146800,35.0
0.929,Below Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,American Indian or Alaska Native,Male,Generation Y/Millenials (1981-1996),True,False,Referral,False,False,Development,P3,IT - Product Development - P3 Business Analytics,3.37,San Francisco,Individual Contributor,AMER,IT - Product Development,02-05 Years,72000,33.0
